accuracy_task_0,accuracy_task_1,accuracy_task_2,accuracy_task_3,accuracy_task_4,accuracy_task_5
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
0.996,0.0,0.0,0.0,0.0,0.0
0.989,0.002,0.0,0.0,0.0,0.0
0.971,0.036,0.0,0.0,0.0,0.0
0.914,0.129,0.0,0.0,0.0,0.0
0.815,0.318,0.0,0.0,0.0,0.0
0.649,0.589,0.0,0.0,0.0,0.0
0.511,0.779,0.0,0.0,0.0,0.0
0.403,0.866,0.0,0.0,0.0,0.0
0.297,0.941,0.0,0.0,0.0,0.0
0.256,0.955,0.0,0.0,0.0,0.0
0.206,0.975,0.0,0.0,0.0,0.0
0.167,0.984,0.0,0.0,0.0,0.0
0.127,0.991,0.0,0.0,0.0,0.0
0.12,0.992,0.0,0.0,0.0,0.0
0.116,0.993,0.0,0.0,0.0,0.0
0.135,0.995,0.0,0.0,0.0,0.0
0.146,0.993,0.0,0.0,0.0,0.0
0.152,0.993,0.0,0.0,0.0,0.0
0.168,0.992,0.0,0.0,0.0,0.0
0.177,0.99,0.0,0.0,0.0,0.0
0.201,0.987,0.0,0.0,0.0,0.0
0.214,0.983,0.0,0.0,0.0,0.0
0.212,0.985,0.0,0.0,0.0,0.0
0.229,0.982,0.0,0.0,0.0,0.0
0.24,0.98,0.0,0.0,0.0,0.0
0.23,0.981,0.0,0.0,0.0,0.0
0.219,0.984,0.0,0.0,0.0,0.0
0.186,0.986,0.0,0.0,0.0,0.0
0.159,0.99,0.0,0.0,0.0,0.0
0.154,0.993,0.0,0.0,0.0,0.0
0.152,0.994,0.0,0.0,0.0,0.0
0.153,0.994,0.0,0.0,0.0,0.0
0.144,0.995,0.0,0.0,0.0,0.0
0.146,0.995,0.0,0.0,0.0,0.0
0.152,0.995,0.0,0.0,0.0,0.0
0.171,0.994,0.0,0.0,0.0,0.0
0.198,0.989,0.0,0.0,0.0,0.0
0.228,0.987,0.0,0.0,0.0,0.0
0.284,0.979,0.0,0.0,0.0,0.0
0.324,0.967,0.0,0.0,0.0,0.0
0.361,0.952,0.0,0.0,0.0,0.0
0.41,0.931,0.0,0.0,0.0,0.0
0.443,0.919,0.0,0.0,0.0,0.0
0.467,0.902,0.0,0.0,0.0,0.0
0.487,0.884,0.0,0.0,0.0,0.0
0.511,0.85,0.0,0.0,0.0,0.0
0.538,0.828,0.0,0.0,0.0,0.0
0.558,0.795,0.0,0.0,0.0,0.0
0.581,0.772,0.0,0.0,0.0,0.0
0.602,0.734,0.0,0.0,0.0,0.0
0.623,0.708,0.0,0.0,0.0,0.0
0.624,0.69,0.0,0.0,0.0,0.0
0.643,0.653,0.0,0.0,0.0,0.0
0.652,0.638,0.0,0.0,0.0,0.0
0.667,0.619,0.0,0.0,0.0,0.0
0.677,0.596,0.001,0.0,0.0,0.0
0.687,0.56,0.017,0.0,0.0,0.0
0.671,0.472,0.1,0.0,0.0,0.0
0.618,0.321,0.284,0.0,0.0,0.0
0.538,0.168,0.546,0.0,0.0,0.0
0.474,0.058,0.718,0.0,0.0,0.0
0.4,0.023,0.828,0.0,0.0,0.0
0.359,0.003,0.873,0.0,0.0,0.0
0.319,0.0,0.913,0.0,0.0,0.0
0.285,0.0,0.93,0.0,0.0,0.0
0.274,0.0,0.937,0.0,0.0,0.0
0.258,0.0,0.951,0.0,0.0,0.0
0.254,0.0,0.951,0.0,0.0,0.0
0.249,0.0,0.952,0.0,0.0,0.0
0.251,0.0,0.954,0.0,0.0,0.0
0.259,0.0,0.951,0.0,0.0,0.0
0.259,0.0,0.952,0.0,0.0,0.0
0.262,0.0,0.952,0.0,0.0,0.0
0.268,0.0,0.946,0.0,0.0,0.0
